,0,1,2,3,4
32,132,"Shingeki no Kyojin Season 2  TV (12 eps)  Apr 2017 - Jun 2017  2,831,180 members  Manga Store Volume 1 $15.99 Preview",8.52,,Add to My List
33,133,"Shoujo☆Kageki Revue Starlight Movie  Movie (1 eps)  Jun 2021 - Jun 2021  22,045 members",8.52,,Add to My List
34,134,"Bakuman. 3rd Season  TV (25 eps)  Oct 2012 - Mar 2013  337,007 members",8.52,,Add to My List
35,135,"Gintama Movie 1: Shinyaku Benizakura-hen  Movie (1 eps)  Apr 2010 - Apr 2010  169,278 members",8.52,,Add to My List
36,136,"Gintama. Porori-hen  TV (13 eps)  Oct 2017 - Dec 2017  209,522 members",8.52,,Add to My List
37,137,"Hotaru no Haka  Movie (1 eps)  Apr 1988 - Apr 1988  709,599 members",8.52,,Add to My List
38,138,"Kara no Kyoukai Movie 5: Mujun Rasen  Movie (1 eps)  Aug 2008 - Aug 2008  244,650 members",8.51,,Add to My List
39,139,"Koukaku Kidoutai: Stand Alone Complex 2nd GIG  TV (26 eps)  Jan 2004 - Jan 2005  232,786 members",8.51,,Add to My List
40,140,"Samurai Champloo  TV (26 eps)  May 2004 - Mar 2005  1,281,306 members",8.51,,Add to My List
41,141,"Sora yori mo Tooi Basho  TV (13 eps)  Jan 2018 - Mar 2018  524,835 members",8.51,,Add to My List
42,142,"Yuru Camp△ Season 2  TV (13 eps)  Jan 2021 - Apr 2021  237,665 members  Manga Store Volume 1 $8.99 Preview",8.51,,Add to My List
43,143,"Tian Guan Cifu Special  ONA (1 eps)  Feb 2021 - Feb 2021  53,592 members",8.50,,Add to My List
44,144,"JoJo no Kimyou na Bouken Part 4: Diamond wa Kudakenai  TV (39 eps)  Apr 2016 - Dec 2016  1,175,080 members",8.50,,Add to My List
45,145,"Ousama Ranking  TV (23 eps)  Oct 2021 - Mar 2022  691,157 members",8.50,,Add to My List
46,146,"Mahou Shoujo Madoka★Magica Movie 3: Hangyaku no Monogatari  Movie (1 eps)  Oct 2013 - Oct 2013  394,798 members  Manga Store Volume 1 $8.99 Preview",8.49,,Add to My List
47,147,"Mob Psycho 100  TV (12 eps)  Jul 2016 - Sep 2016  2,171,323 members",8.49,,Add to My List
48,148,"One Punch Man  TV (12 eps)  Oct 2015 - Dec 2015  3,335,376 members",8.49,,Add to My List
49,149,"Ansatsu Kyoushitsu 2nd Season  TV (25 eps)  Jan 2016 - Jul 2016  1,487,085 members",8.48,,Add to My List
50,150,"Aria the Origination  TV (13 eps)  Jan 2008 - Apr 2008  134,059 members",8.48,,Add to My List
0,Rank,Title,Score,,
1,151,"Spy x Family  TV (12 eps)  Apr 2022 - Jun 2022  1,691,402 members",8.48,,Add to My List
2,152,"Uchuu Kyoudai  TV (99 eps)  Apr 2012 - Mar 2014  200,297 members  Manga Store Volume 1 $15.99 Preview",8.48,,Add to My List
3,153,"Yakusoku no Neverland  TV (12 eps)  Jan 2019 - Mar 2019  2,040,800 members",8.48,,Add to My List
4,154,"Summertime Render  TV (25 eps)  Apr 2022 - Sep 2022  590,045 members  Manga Store Volume 1 - Drifting Ashore $13.99 Preview",8.47,,Add to My List
5,155,"Nichijou  TV (26 eps)  Apr 2011 - Sep 2011  931,628 members",8.47,,Add to My List
6,156,"Chainsaw Man  TV (12 eps)  Oct 2022 - Dec 2022  1,676,183 members",8.47,,Add to My List
7,157,"Fate/stay night Movie: Heaven's Feel - II. Lost Butterfly  Movie (1 eps)  Jan 2019 - Jan 2019  407,029 members",8.47,,Add to My List
8,158,"Banana Fish  TV (24 eps)  Jul 2018 - Dec 2018  903,317 members",8.46,,Add to My List
9,159,"Chihayafuru 3  TV (24 eps)  Oct 2019 - Mar 2020  147,491 members  Manga Store Volume 1 $15.99 Preview",8.46,,Add to My List
10,160,"Gintama: The Semi-Final  Special (2 eps)  Jan 2021 - Jan 2021  83,250 members",8.46,,Add to My List
11,161,"Yuu☆Yuu☆Hakusho  TV (112 eps)  Oct 1992 - Jan 1995  716,119 members",8.46,,Add to My List
12,162,"Mo Dao Zu Shi  ONA (15 eps)  Jul 2018 - Oct 2018  240,774 members",8.46,,Add to My List
13,163,"Mo Dao Zu Shi: Xian Yun Pian  ONA (8 eps)  Aug 2019 - Sep 2019  110,867 members",8.46,,Add to My List
14,164,"Pluto  ONA (8 eps)  Oct 2023 - Oct 2023  199,515 members",8.46,,Add to My List
15,165,"Rainbow: Nisha Rokubou no Shichinin  TV (26 eps)  Apr 2010 - Sep 2010  407,402 members",8.46,,Add to My List
16,166,"Owarimonogatari  TV (12 eps)  Oct 2015 - Dec 2015  491,588 members  Manga Store Volume 1 $13.99 Preview",8.45,,Add to My List
17,167,"Steins;Gate Movie: Fuka Ryouiki no Déjà vu  Movie (1 eps)  Apr 2013 - Apr 2013  612,634 members",8.45,,Add to My List
18,168,"Uma Musume: Pretty Derby - Shin Jidai no Tobira  Movie (1 eps)  May 2024 - May 2024  9,401 members",8.45,,Add to My List
19,169,"Zoku Owarimonogatari  TV (6 eps)  May 2019 - Jun 2019  238,063 members  Manga Store Volume 1 $13.99 Preview",8.44,,Add to My List
20,170,"Doupo Cangqiong: Nian Fan  ONA (157 eps)  Jul 2022 - 9,095 members",8.44,,Add to My List
21,171,"Grand Blue  TV (12 eps)  Jul 2018 - Sep 2018  818,583 members  Manga Store Volume 1 $15.99 Preview",8.44,,Add to My List
22,172,"Haikyuu!!  TV (25 eps)  Apr 2014 - Sep 2014  2,051,005 members",8.44,,Add to My List
23,173,"JoJo no Kimyou na Bouken Part 3: Stardust Crusaders - Egypt-hen  TV (24 eps)  Jan 2015 - Jun 2015  1,162,926 members",8.44,,Add to My List
24,174,"Karakai Jouzu no Takagi-san Movie  Movie (1 eps)  Jun 2022 - Jun 2022  83,293 members  Manga Store Volume 1 $8.99 Preview",8.44,,Add to My List
25,175,"Kimetsu no Yaiba  TV (26 eps)  Apr 2019 - Sep 2019  3,190,150 members",8.44,,Add to My List
26,176,"Mushoku Tensei II: Isekai Ittara Honki Dasu Part 2  TV (12 eps)  Apr 2024 - Jul 2024  457,422 members",8.43,,Add to My List
27,177,"Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season Part 2  TV (12 eps)  Jan 2021 - Mar 2021  960,436 members  Manga Store Volume 1 $9.99 Preview",8.43,,Add to My List
28,178,"Bungou Stray Dogs 4th Season  TV (13 eps)  Jan 2023 - Mar 2023  319,527 members  Manga Store Volume 1 $8.99 Preview",8.43,,Add to My List
29,179,"Golden Kamuy 3rd Season  TV (12 eps)  Oct 2020 - Dec 2020  180,917 members",8.43,,Add to My List
30,180,"Gintama: Yorinuki Gintama-san on Theater 2D  Movie (2 eps)  Aug 2012 - Aug 2012  45,687 members",8.42,,Add to My List
31,181,"Hunter x Hunter  TV (62 eps)  Oct 1999 - Mar 2001  613,385 members",8.42,,Add to My List
32,182,"Tian Guan Cifu  ONA (11 eps)  Oct 2020 - Jan 2021  158,772 members",8.42,,Add to My List
33,183,"Wu Liuqi: Xuanwu Guo Pian  ONA (10 eps)  Jan 2021 - May 2021  71,942 members",8.42,,Add to My List
34,184,"Kono Oto Tomare! Part 2  TV (13 eps)  Oct 2019 - Dec 2019  188,039 members",8.42,,Add to My List
35,185,"Kono Subarashii Sekai ni Shukufuku wo! Movie: Kurenai Densetsu  Movie (1 eps)  Aug 2019 - Aug 2019  828,281 members  Manga Store Volume 1 $9.99 Preview",8.42,,Add to My List
36,186,"Koukaku Kidoutai: Stand Alone Complex  TV (26 eps)  Oct 2002 - Oct 2003  407,613 members  Manga Store Volume 1 $15.99 Preview",8.42,,Add to My List
37,187,"Mononoke  TV (12 eps)  Jul 2007 - Sep 2007  344,352 members",8.42,,Add to My List
38,188,"Mushishi Zoku Shou: Odoro no Michi  TV Special (1 eps)  Aug 2014 - Aug 2014  104,966 members  Manga Store Volume 1 $15.99 Preview",8.42,,Add to My List
39,189,"Natsume Yuujinchou Movie: Utsusemi ni Musubu  Movie (1 eps)  Sep 2018 - Sep 2018  77,880 members",8.42,,Add to My List
40,190,"Saenai Heroine no Sodatekata Fine  Movie (1 eps)  Oct 2019 - Oct 2019  192,859 members",8.42,,Add to My List
41,191,"Jujutsu Kaisen 0 Movie  Movie (1 eps)  Dec 2021 - Dec 2021  1,074,417 members",8.41,,Add to My List
42,192,"Saiki Kusuo no Ψ-nan  TV (120 eps)  Jul 2016 - Dec 2016  1,161,244 members",8.41,,Add to My List
43,193,"Saiki Kusuo no Ψ-nan 2  TV (24 eps)  Jan 2018 - Jun 2018  672,704 members",8.41,,Add to My List
44,194,"Shingeki no Kyojin: Kuinaki Sentaku  OVA (2 eps)  Dec 2014 - Apr 2015  536,120 members  Manga Store Volume 1 $15.99 Preview",8.41,,Add to My List
45,195,"Violet Evergarden Gaiden: Eien to Jidou Shuki Ningyou  Movie (1 eps)  Sep 2019 - Sep 2019  446,499 members",8.41,,Add to My List
46,196,"Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen  TV (12 eps)  Jan 2019 - Mar 2019  1,815,709 members",8.40,,Add to My List
47,197,"Kamisama Hajimemashita: Kako-hen  OVA (4 eps)  Aug 2015 - Aug 2016  174,404 members",8.40,,Add to My List
48,198,"Natsume Yuujinchou Roku Specials  Special (2 eps)  Sep 2017 - Oct 2017  50,143 members",8.40,,Add to My List
49,199,"Karakai Jouzu no Takagi-san 3  TV (12 eps)  Jan 2022 - Mar 2022  197,474 members  Manga Store Volume 1 $8.99 Preview",8.39,,Add to My List
50,200,"Major S5  TV (25 eps)  Jan 2009 - Jun 2009  72,834 members",8.39,,Add to My List
0,Rank,Title,Score,,
