,Rank,Title,Score,URL
145,146,Mahou Shoujo Madoka Magica Movie 3 Hangyaku no Monogatari,"8.49
",https://myanimelist.net/anime/11981/Mahou_Shoujo_Madoka★Magica_Movie_3__Hangyaku_no_Monogatari
146,147,Mob Psycho 100,"8.49
",https://myanimelist.net/anime/32182/Mob_Psycho_100
147,148,One Punch Man,"8.49
",https://myanimelist.net/anime/30276/One_Punch_Man
148,149,Ansatsu Kyoushitsu 2nd Season,"8.48
",https://myanimelist.net/anime/30654/Ansatsu_Kyoushitsu_2nd_Season
149,150,Aria the Origination,"8.48
",https://myanimelist.net/anime/3297/Aria_the_Origination
150,151,Spy x Family,"8.48
",https://myanimelist.net/anime/50265/Spy_x_Family
151,152,Uchuu Kyoudai,"8.48
",https://myanimelist.net/anime/12431/Uchuu_Kyoudai
152,153,Yakusoku no Neverland,"8.48
",https://myanimelist.net/anime/37779/Yakusoku_no_Neverland
153,154,Summertime Render,"8.47
",https://myanimelist.net/anime/47194/Summertime_Render
154,155,Nichijou,"8.47
",https://myanimelist.net/anime/10165/Nichijou
155,156,Chainsaw Man,"8.47
",https://myanimelist.net/anime/44511/Chainsaw_Man
156,157,Fate stay night Movie Heaven s Feel II Lost Butterfly,"8.47
",https://myanimelist.net/anime/33049/Fate_stay_night_Movie__Heavens_Feel_-_II_Lost_Butterfly
157,158,Banana Fish,"8.46
",https://myanimelist.net/anime/36649/Banana_Fish
158,159,Chihayafuru 3,"8.46
",https://myanimelist.net/anime/37379/Chihayafuru_3
159,160,Gintama The Semi Final,"8.46
",https://myanimelist.net/anime/44087/Gintama__The_Semi-Final
160,161,Yuu Yuu Hakusho,"8.46
",https://myanimelist.net/anime/392/Yuu☆Yuu☆Hakusho
161,162,Mo Dao Zu Shi,"8.46
",https://myanimelist.net/anime/37208/Mo_Dao_Zu_Shi
162,163,Mo Dao Zu Shi Xian Yun Pian,"8.46
",https://myanimelist.net/anime/38450/Mo_Dao_Zu_Shi__Xian_Yun_Pian
163,164,Pluto,"8.46
",https://myanimelist.net/anime/35737/Pluto
164,165,Rainbow Nisha Rokubou no Shichinin,"8.46
",https://myanimelist.net/anime/6114/Rainbow__Nisha_Rokubou_no_Shichinin
165,166,Owarimonogatari,"8.45
",https://myanimelist.net/anime/31181/Owarimonogatari
166,167,Steins Gate Movie Fuka Ryouiki no Déjà vu,"8.45
",https://myanimelist.net/anime/11577/Steins_Gate_Movie__Fuka_Ryouiki_no_Déjà_vu
167,168,Uma Musume Pretty Derby Shin Jidai no Tobira,"8.45
",https://myanimelist.net/anime/57647/Uma_Musume__Pretty_Derby_-_Shin_Jidai_no_Tobira
168,169,Zoku Owarimonogatari,"8.44
",https://myanimelist.net/anime/36999/Zoku_Owarimonogatari
